MJD	m	dm	uJy	duJy	F	err	chi/N	RA	Dec	x	y	maj	min	phi	apfit	mag5sig	Sky	Obs
59195.61786195	18.91	0.12	99.33693663800327	11.47772032681193	c	18.91	1.15	170.420852727273	20.1748290909091	1048.12	6723.69	2.58	2.39	18.91	-0.4007	19.73	180.7	02a59195o0913c
59195.62328045	18.86	0.12	103.64940871909688	11.9924935708046	c	18.86	1.02	170.420852727273	20.1748290909091	1062.42	6762.96	2.66	2.44	18.86	-0.3957	19.69	181.0	02a59195o0922c
59195.62665785	18.63	0.1	128.57544258486143	11.95404114843036	c	18.63	1.18	170.420852727273	20.1748290909091	1007.68	6685.78	2.61	2.41	18.63	-0.3997	19.7	181.0	02a59195o0929c
59195.63188575	18.88	0.11	102.15450251589218	11.011459362102663	c	18.88	1.4	170.420852727273	20.1748290909091	989.67	6801.97	2.55	2.35	18.88	-0.4027	19.74	181.8	02a59195o0940c
59197.56987285	18.97	0.11	93.43643766877196	10.018579659744173	c	18.97	1.62	170.420824	20.1748053333333	7489.25	1972.17	2.42	2.26	18.97	-0.3837	19.86	179.4	01a59197o0636c
59197.57376825	18.89	0.1	101.15454380382707	9.724365757525694	c	18.89	1.15	170.420824	20.1748053333333	7469.32	1933.08	2.43	2.26	18.89	-0.3857	19.85	180.1	01a59197o0643c
59197.58373195	19.05	0.12	87.2681448486675	10.26020824448158	c	19.05	1.06	170.420824	20.1748053333333	7533.46	2014.21	2.55	2.34	19.05	-0.3707	19.78	178.4	01a59197o0663c
59197.58932375	18.83	0.09	106.20115212942174	9.580526199775091	c	18.83	1.52	170.420824	20.1748053333333	7549.91	1895.06	2.39	2.23	18.83	-0.3857	19.87	179.1	01a59197o0675c
59205.57355105	18.83	0.13	107.02876871931406	13.148497385665122	c	18.83	0.94	170.42083	20.1747973684211	2566.04	8275.12	2.87	2.29	18.83	-0.4217	19.78	178.4	01a59205o0749c
59205.57543045	18.79	0.1	110.81891462289101	11.125095717502708	c	18.79	1.14	170.42083	20.1747973684211	2547.89	8236.33	2.49	2.26	18.79	-0.3927	19.89	180.9	01a59205o0753c
59205.58143375	18.99	0.11	92.43063933747692	9.527919251578385	c	18.99	1.35	170.42083	20.1747973684211	2603.79	8310.98	2.32	2.13	18.99	-0.3857	19.93	181.0	01a59205o0766c
59205.58689195	18.79	0.11	110.81310814050815	11.382220080548061	c	18.79	1.45	170.42083	20.1747973684211	2624.6	8196.71	2.57	2.34	18.79	-0.3847	19.75	181.5	01a59205o0777c
59207.55676585	19.27	0.15	71.344536357054	10.52203593755113	c	19.27	1.15	170.420818695652	20.1747943478261	9179.32	6838.39	2.49	2.3	19.27	-0.4077	19.76	181.2	02a59207o0734c
59207.55910735	19.21	0.14	75.08399953652544	10.726285648075063	c	19.21	1.34	170.420818695652	20.1747943478261	9195.01	6878.61	2.52	2.31	19.21	-0.3997	19.73	181.9	02a59207o0739c
59207.56570155	19.3	0.14	69.11835672102215	9.80131393649854	c	19.3	1.36	170.420818695652	20.1747943478261	9143.81	6801.03	2.49	2.29	19.3	-0.4067	19.72	181.4	02a59207o0752c
59207.57073895	18.84	0.11	105.87665839974402	10.849089687875006	c	18.84	1.14	170.420818695652	20.1747943478261	9123.8	6917.59	2.52	2.33	18.84	-0.4067	19.73	181.7	02a59207o0763c
59229.60777475	19.96	0.23	37.7218272870655	8.713521507830919	c	19.96	1.44	170.420820357143	20.1747992857143	7200.1	6928.52	2.5	2.35	19.96	-0.3837	19.9	180.7	01a59229o0568c
59229.61245745	>20.2147382714485	0.0	18.702142714329177	9.928297984150056	c	>20.2147382714485	0.98	170.420820357143	20.1747992857143	7221.07	6965.62	2.58	2.39	>20.2147382714485	-0.3787	19.88	181.0	01a59229o0578c
59229.61857985	20.31	0.31	27.408994264791275	8.897695899391195	c	20.31	0.88	170.420820357143	20.1747992857143	7163.44	6888.41	2.41	2.25	20.31	-0.3867	19.95	180.4	01a59229o0591c
59229.65311225	19.94	0.22	38.54181971333745	8.830336052920979	c	19.94	1.17	170.420820357143	20.1747992857143	7153.91	7004.12	2.41	2.25	19.94	-0.3937	19.91	180.4	01a59229o0658c
59231.51167465	>20.08484400761136	0.0	25.195824518885228	11.2271549669644	c	>20.08484400761136	1.14	170.420820357143	20.1747992857143	4110.1	546.18	2.52	2.31	>20.08484400761136	-0.4067	19.79	180.8	02a59231o0650c
59231.51351755	>20.066790387413803	0.0	27.965095561166777	11.344331218209165	c	>20.066790387413803	0.84	170.420820357143	20.1747992857143	4128.89	585.37	2.54	2.32	>20.066790387413803	-0.4037	19.8	180.4	02a59231o0654c
59231.51779315	>20.10795856213723	0.0	12.29939949708104	11.004725865809352	c	>20.10795856213723	1.12	170.420820357143	20.1747992857143	4074.12	506.23	2.51	2.3	>20.10795856213723	-0.4047	19.8	179.7	02a59231o0662c
59231.52290835	20.11	0.31	32.77739264841769	10.702822089279245	c	20.11	1.39	170.420820357143	20.1747992857143	4054.54	622.87	2.54	2.34	20.11	-0.4107	19.79	180.7	02a59231o0673c
