MJD	m	dm	uJy	duJy	F	err	chi/N	RA	Dec	x	y	maj	min	phi	apfit	mag5sig	Sky	Obs
59193.61650155	18.61	0.1	131.19720114706774	12.377094447836582	o	18.61	1.2	170.420858571429	20.1748385714286	7467.31	1925.95	2.37	2.14	18.61	-0.3997	19.55	180.4	01a59193o0913o
59193.62034595	18.49	0.09	145.82954265066488	12.006398643714594	o	18.49	1.29	170.420858571429	20.1748385714286	7525.9	2005.82	2.06	1.97	18.49	-0.4207	19.66	179.6	01a59193o0921o
59193.63383465	18.67	0.1	123.46621361218011	11.914921313622976	o	18.67	1.28	170.420858571429	20.1748385714286	7544.25	1887.4	2.03	1.93	18.67	-0.4197	19.66	180.7	01a59193o0949o
59209.57897045	18.91	0.15	98.7212320605058	14.634877054483303	o	18.91	1.0	170.420817037037	20.1747944444444	7582.01	3904.83	2.41	2.26	18.91	-0.3917	19.32	180.2	01a59209o0822o
59209.58127355	18.84	0.13	106.03817328811321	13.15468169162138	o	18.84	1.03	170.420817037037	20.1747944444444	7561.74	3865.08	2.39	2.27	18.84	-0.3967	19.44	182.0	01a59209o0827o
59209.58404005	18.75	0.11	114.98877720521321	12.652814393179268	o	18.75	1.38	170.420817037037	20.1747944444444	7620.17	3942.98	2.25	2.12	18.75	-0.4027	19.52	180.9	01a59209o0833o
59209.59414855	18.86	0.12	103.99330599407453	12.6600546427569	o	18.86	0.98	170.420817037037	20.1747944444444	7639.64	3828.84	2.54	2.41	18.86	-0.3937	19.51	181.0	01a59209o0854o
59219.63501367	19.2	0.22	75.98993920216797	17.076390831947865	o	19.2	1.08	170.420820357143	20.1747992857143	8238.31	6013.22	2.19	1.98	19.2	-0.4487	19.21	182.6	02a59219o0849o
59219.66109523	>19.606204094964145	0.0	31.2596663650672	17.35327486425784	o	>19.606204094964145	1.02	170.420820357143	20.1747992857143	8312.86	5978.68	2.14	1.96	>19.606204094964145	-0.4517	19.16	180.8	02a59219o0901o
59221.55497275	19.34	0.18	66.96826128725151	12.062606070374494	o	19.34	1.35	170.420820357143	20.1747992857143	8399.13	9932.1	2.2	1.94	19.34	-0.4107	19.53	178.7	01a59221o0733o
59221.55681465	19.77	0.25	44.9835144547917	11.83239835999056	o	19.77	1.16	170.420820357143	20.1747992857143	8379.45	9891.91	2.2	1.91	19.77	-0.4057	19.57	179.5	01a59221o0737o
59221.56688495	19.8	0.26	43.67275156849222	11.750931036437523	o	19.8	1.32	170.420820357143	20.1747992857143	8439.33	9971.94	2.14	2.03	19.8	-0.4117	19.65	178.3	01a59221o0755o
59221.57011235	19.98	0.29	36.9644496574248	11.468683664594806	o	19.98	1.61	170.420820357143	20.1747992857143	8457.87	9854.72	2.09	1.98	19.98	-0.4117	19.66	177.8	01a59221o0762o
59249.64219625	>19.42	0.0	-5.4686816511555385	30.155873104943392	o	>19.42	1.34	170.420820357143	20.1747992857143	8091.65	4201.28	2.27	2.0	>19.42	-0.4077	18.45	174.2	01a59249o0149o
59249.64824295	>18.92696261140213	0.0	42.89563892027419	32.54669106887936	o	>18.92696261140213	1.22	170.420820357143	20.1747992857143	8112.04	4240.12	2.16	1.95	>18.92696261140213	-0.4097	18.45	181.6	01a59249o0162o
59249.66120135	>19.55802887352806	0.0	41.189369061359514	18.132276597663697	o	>19.55802887352806	0.94	170.420820357143	20.1747992857143	8053.69	4166.14	2.25	2.01	>19.55802887352806	-0.4077	19.03	179.8	01a59249o0190o
59249.66442975	>19.12304738403255	0.0	41.466415480718624	27.24935874447223	o	>19.12304738403255	0.78	170.420820357143	20.1747992857143	8033.63	4283.85	2.27	2.05	>19.12304738403255	-0.4037	18.53	179.6	01a59249o0197o
59251.55658525	>20.44	0.0	7.426043029482164	12.178710568350752	o	>20.44	1.07	170.420820357143	20.1747992857143	9466.54	1893.58	2.13	1.88	>20.44	-0.4467	19.69	180.7	02a59251o0639o
59251.55978755	>19.999677083668235	0.0	20.80500948602282	12.055239141433782	o	>19.999677083668235	1.35	170.420820357143	20.1747992857143	9447.89	1854.47	2.11	1.86	>19.999677083668235	-0.4497	19.69	180.1	02a59251o0646o
59251.56682095	>20.00245179694708	0.0	18.732346049544454	12.091778931451977	o	>20.00245179694708	1.62	170.420820357143	20.1747992857143	9506.51	1933.32	2.14	1.88	>20.00245179694708	-0.4417	19.66	180.8	02a59251o0661o
59251.57673575	>20.033389657891995	0.0	24.84768388358438	11.716794026405642	o	>20.033389657891995	1.36	170.420820357143	20.1747992857143	9528.27	1816.96	2.15	1.9	>20.033389657891995	-0.4457	19.69	180.9	02a59251o0681o
59267.43586525	>19.605149978319908	0.0	20.93324383167036	17.4443698597253	o	>19.605149978319908	1.11	170.420820357143	20.1747992857143	10266.1	686.52	2.28	2.0	>19.605149978319908	-0.4337	19.36	182.5	02a59267o0458o
59267.43769675	>20.07	0.0	16.386131799742714	16.947300696994176	o	>20.07	0.88	170.420820357143	20.1747992857143	10285.7	726.31	2.28	2.0	>20.07	-0.4327	19.4	179.3	02a59267o0462o
