###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57400.562723  21.081  1.677    13   22 c  0   0.94 170.42082  20.17479  6506.54   249.34 4.51 3.63  -1.8 -0.464 19.68 21.68 02a57400o0552c
57400.602962  20.433  0.681    24   17 c  0   1.22 170.42082  20.17479  3491.37  9651.57 3.81 3.77  26.2 -0.407 19.74 21.81 02a57400o0611c
57401.562940 -22.265  4.091    -4   18 c  0   1.60 170.42082  20.17479  6541.95   356.45 4.30 3.52  -1.2 -0.472 19.66 21.58 02a57401o0574c
57401.604573  21.073  1.195    14   16 c  0   1.37 170.42082  20.17479  3623.51  9770.18 3.69 3.55  20.9 -0.406 19.73 21.71 02a57401o0633c
57402.557526  20.366  0.750    26   19 c  0   1.06 170.42082  20.17479  7389.55 10210.07 3.94 3.80  30.6 -0.396 19.64 21.66 02a57402o0550c
57402.563449  20.410  0.701    25   18 c  0   1.12 170.42082  20.17479  7094.31  9622.20 3.86 3.77  36.2 -0.403 19.64 21.73 02a57402o0558c
57402.612802 -20.928  1.278   -15   20 c  0   1.03 170.42082  20.17479  2478.35  1689.25 4.49 3.65 -23.5 -0.435 19.71 21.74 02a57402o0628c
57403.554969 -22.206  3.846    -5   18 c  0   0.74 170.42082  20.17479  7391.98 10207.79 3.85 3.77  29.0 -0.405 19.68 21.73 02a57403o0549c
57403.560856  20.405  0.743    25   19 c  0   0.79 170.42082  20.17479  7097.59  9621.23 3.76 3.68  63.0 -0.416 19.69 21.79 02a57403o0557c
57403.609486 -20.470  0.827   -24   20 c  0   1.15 170.42082  20.17479  2479.84  1685.79 4.69 3.71 -23.5 -0.431 19.66 21.66 02a57403o0626c
57415.562321  20.822  2.515    17   43 o  0   1.02 170.42082  20.17479  2495.42  1173.34 4.66 3.71 -25.2 -0.468 18.60 19.67 02a57415o0583o
57415.577990 -20.682  2.459   -19   48 o  0   0.81 170.42082  20.17479  2196.13   587.70 4.77 3.59 -23.3 -0.489 18.64 19.69 02a57415o0607o
57415.585873 -19.760  1.145   -45   52 o  0   1.00 170.42082  20.17479  3061.69 10444.86 3.73 3.49  14.8 -0.395 18.54 19.53 02a57415o0619o
57415.609740  19.286  0.689    70   48 o  0   1.09 170.42082  20.17479  4212.72  9850.03 3.69 3.63  30.1 -0.418 18.51 19.51 02a57415o0655o
57415.617874  20.201  1.538    30   46 o  0   1.42 170.42082  20.17479  4459.44  9770.38 3.72 3.61  27.1 -0.409 18.48 19.50 02a57415o0666o
57420.562696 -20.517  0.923   -23   21 c  0   0.99 170.42082  20.17479  2931.15   955.87 4.49 3.68 -21.6 -0.461 19.51 21.32 02a57420o0518c
57420.566693  19.849  0.500    42   21 c  0   0.78 170.42082  20.17479  3505.47 10223.76 3.82 3.60  24.3 -0.384 19.51 21.30 02a57420o0523c
57420.574805 -20.831  1.553   -17   26 c  0   1.12 170.42082  20.17479  2632.49   367.57 4.74 3.66 -20.7 -0.454 19.50 21.29 02a57420o0535c
57420.595326  20.845  1.118    17   19 c  0   1.21 170.42082  20.17479  4653.81  9630.32 3.65 3.50  17.2 -0.395 19.49 21.25 02a57420o0565c
57420.622001  21.559  2.200     9   19 c  0   1.20 170.42082  20.17479  4468.20  9769.73 3.77 3.67  24.3 -0.402 19.43 21.19 02a57420o0604c
57427.535995  19.666  0.379    49   19 c  0   1.18 170.42082  20.17479  2665.76   897.22 4.90 3.71 -21.5 -0.466 19.71 21.75 02a57427o0548c
57427.553114 -20.386  0.962   -25   24 c  0   0.96 170.42082  20.17479  2401.85   316.63 5.08 3.73 -21.4 -0.451 19.68 21.72 02a57427o0575c
57427.560820  20.729  1.000    19   19 c  0   1.15 170.42082  20.17479  3295.43 10189.20 3.83 3.78   1.7 -0.387 19.68 21.70 02a57427o0587c
57427.584536  20.271  0.683    28   19 c  0   0.83 170.42082  20.17479  4484.63  9604.91 3.71 3.69  50.7 -0.418 19.67 21.67 02a57427o0623c
57427.592682  20.852  1.196    17   20 c  0   0.87 170.42082  20.17479  4446.31  9671.86 3.77 3.69 -80.4 -0.417 19.65 21.71 02a57427o0634c
57432.517341  19.883  0.544    40   22 c  0   0.90 170.42082  20.17479  2790.41   921.60 5.05 3.88 -16.8 -0.460 19.56 21.59 02a57432o0523c
57432.532237  20.796  1.562    17   27 c  0   0.97 170.42082  20.17479  2504.75   340.46 5.44 3.98 -15.9 -0.435 19.54 21.57 02a57432o0546c
57432.544102  20.485  1.065    23   25 c  0   0.67 170.42082  20.17479  3406.64 10195.30 4.04 3.85 -33.0 -0.403 19.58 21.56 02a57432o0564c
57432.563207  21.058  1.432    14   20 c  0   1.09 170.42082  20.17479  4588.90  9607.67 3.93 3.80 -48.9 -0.412 19.57 21.55 02a57432o0593c
57432.592503  20.124  0.641    32   21 c  0   0.96 170.42082  20.17479  4439.93  9662.84 3.77 3.68 -36.8 -0.418 19.58 21.49 02a57432o0636c
57433.495078 -21.410  2.278   -10   23 c  0   1.05 170.42082  20.17479  2500.42   640.65 5.41 3.98 -14.2 -0.436 19.50 21.54 02a57433o0490c
57433.517414  18.716  0.844   118  100 c  0   0.21 170.42082  20.17479  3400.85 10517.83 4.19 4.07 -36.6 -0.369 19.56 21.58 02a57433o0525c
57433.521516  22.752  9.500     3   27 c  0   0.73 170.42082  20.17479  3120.73  9928.20 4.34 3.88 -81.4 -0.396 19.45 21.55 02a57433o0531c
57433.529959 -18.880  0.307  -102   31 c  0   0.79 170.42082  20.17479  2252.11    65.70 5.77 3.98 -16.9 -0.419 19.54 21.62 02a57433o0543c
57433.551725  21.821  2.765     7   19 c  0   1.06 170.42082  20.17479  4317.94  9348.80 4.09 3.97 -68.9 -0.401 19.54 21.59 02a57433o0575c
57433.571462 -21.043  1.333   -14   18 c  0   1.34 170.42082  20.17479  4414.07  9653.08 4.01 3.90 -64.3 -0.412 19.59 21.62 02a57433o0604c
57442.468072  19.973  1.860    37   69 o  0   1.32 170.42082  20.17479  8121.27  9675.51 3.91 3.73  53.4 -0.448 17.96 18.51 02a57442o0435o
57442.493601  18.643  0.570   127   72 o  0   1.48 170.42082  20.17479  2250.98   444.91 4.79 3.27 -15.7 -0.546 18.04 18.51 02a57442o0475o
57442.497012 -21.105  5.875   -13   77 o  0   1.09 170.42082  20.17479  3118.46 10301.39 3.78 3.66   5.0 -0.473 17.84 18.14 02a57442o0478o
57442.527251  19.077  1.442    85  123 o  0   1.67 170.42082  20.17479  4261.28  9710.64 3.56 3.52   1.3 -0.467 17.85 18.14 02a57442o0520o
57442.543006  20.439  5.197    24  126 o  0   1.08 170.42082  20.17479  4425.52  9754.29 3.57 3.57 -84.0 -0.457 17.80 18.09 02a57442o0546o
57443.462094  19.684  1.000    49   49 o  0   0.86 170.42082  20.17479  8068.46  9420.02 3.97 3.46  83.0 -0.478 18.39 19.26 02a57443o0478o
57443.487137 -19.637  1.213   -51   62 o  0   0.87 170.42082  20.17479  2309.01   698.32 5.24 3.37 -14.4 -0.508 18.38 19.27 02a57443o0517o
57443.505170 -20.155  1.883   -32   59 o  0   0.96 170.42082  20.17479  3492.38   114.94 5.21 3.29 -10.2 -0.458 18.41 19.27 02a57443o0544o
57443.518221 -20.771  2.556   -18   46 o  0   1.22 170.42082  20.17479  4320.31  9942.88 3.64 3.61   5.4 -0.433 18.35 19.14 02a57443o0560o
57443.535417 -20.705  2.673   -19   51 o  0   1.28 170.42082  20.17479  4429.66  9750.64 3.57 3.47 -50.7 -0.468 18.35 19.11 02a57443o0587o
57450.473502  20.859  1.158    16   19 c  0   1.18 170.42082  20.17479  2869.38  1011.26 4.58 3.53 -16.4 -0.481 19.68 21.64 02a57450o0521c
57450.476291  20.617  1.043    21   22 c  0   1.11 170.42082  20.17479  2575.26   425.29 4.76 3.55 -15.5 -0.468 19.69 21.64 02a57450o0525c
57450.496568  20.896  1.152    16   18 c  0   0.82 170.42082  20.17479  3420.44 10277.35 3.89 3.77  -4.3 -0.393 19.66 21.60 02a57450o0559c
57450.504810  21.668  2.318     8   18 c  0   0.98 170.42082  20.17479  4566.88  9683.94 3.88 3.83 -44.4 -0.415 19.61 21.56 02a57450o0570c
57450.529295  20.505  0.824    23   19 c  0   1.12 170.42082  20.17479  4420.53  9745.23 3.74 3.68   3.8 -0.425 19.48 21.24 02a57450o0609c
57451.452323 -22.030  3.583    -6   20 c  0   1.02 170.42082  20.17479  2634.48  1129.89 4.82 3.62 -17.2 -0.480 19.67 21.67 02a57451o0485c
57451.474913  19.829  4.264    42  181 c  0   0.14 170.42082  20.17479  2333.47   545.53 5.08 3.64 -16.7 -0.477 19.68 21.70 02a57451o0524c
57451.476716 -20.873  1.065   -16   17 c  0   1.06 170.42082  20.17479  3199.80 10395.56 3.93 3.85   0.3 -0.390 19.65 21.64 02a57451o0526c
57451.527851  22.559  5.500     3   19 c  0   1.00 170.42082  20.17479  4419.08  9746.97 3.76 3.72 -61.3 -0.425 19.63 21.59 02a57451o0606c
57455.455084  20.036  0.661    35   23 c  0   1.20 170.42082  20.17479  2647.51   972.37 4.86 3.66 -18.6 -0.489 19.46 21.45 02a57455o0460c
57455.474805 -20.398  1.344   -25   34 c  0   0.89 170.42082  20.17479  2350.80   388.17 5.10 3.64 -18.0 -0.480 19.05 20.96 02a57455o0497c
57455.478830 -20.733  1.963   -18   36 c  0   0.78 170.42082  20.17479  3217.32 10239.58 3.88 3.86  -2.5 -0.391 18.90 20.79 02a57455o0502c
57455.494080  20.077  0.746    34   25 c  0   1.14 170.42082  20.17479  4370.32  9649.28 3.79 3.73 -67.5 -0.414 19.20 21.10 02a57455o0531c
57455.519809  19.915  0.471    39   18 c  0   1.29 170.42082  20.17479  4418.60  9753.38 3.91 3.74 -85.0 -0.413 19.44 21.55 02a57455o0572c
57463.426734  20.943  2.433    15   37 o  0   0.72 170.42082  20.17479  2959.06  1279.35 4.75 3.40 -15.1 -0.516 19.14 20.73 02a57463o0316o
57463.458211 -20.386  1.388   -26   35 o  0   0.93 170.42082  20.17479  2655.84   697.85 5.06 3.27 -12.7 -0.474 19.14 20.75 02a57463o0373o
57463.462765 -21.035  2.615   -14   37 o  0   0.90 170.42082  20.17479  3845.02   128.67 4.99 3.24  -6.9 -0.514 19.16 20.77 02a57463o0382o
57463.464750 -19.735  0.559   -46   26 o  0   1.00 170.42082  20.17479  4656.61  9960.99 3.64 3.61 -56.7 -0.437 19.14 20.75 02a57463o0385o
57463.489995 -19.972  0.667   -37   25 o  0   1.03 170.42082  20.17479  4415.39  9747.26 3.56 3.53 -58.7 -0.445 19.24 20.92 02a57463o0428o
57467.400784 -19.110  0.758   -82   62 o  0   0.77 170.42082  20.17479  2806.49  1255.07 4.74 3.36 -11.6 -0.531 18.27 19.14 02a57467o0372o
57467.421735  20.237  2.075    29   61 o  0   1.05 170.42082  20.17479  2509.03   672.30 5.15 3.44 -13.4 -0.511 18.27 19.16 02a57467o0412o
57467.423559  19.485  1.829    58  107 o  0   0.81 170.42082  20.17479  3372.75 10503.27 3.80 3.65   5.5 -0.415 18.28 19.11 02a57467o0414o
57467.448092 -19.053  0.707   -87   61 o  0   1.17 170.42082  20.17479  4520.72  9912.68 3.69 3.57 -82.1 -0.474 18.30 19.13 02a57467o0456o
57467.451159 -20.165  2.075   -31   65 o  0   0.80 170.42082  20.17479  3689.05    82.19 5.18 2.96  -5.6 -0.494 18.35 19.23 02a57467o0461o
57467.473861 -19.808  1.700   -43   74 o  0   0.82 170.42082  20.17479  4405.49  9739.59 3.61 3.48 -63.7 -0.473 18.27 19.08 02a57467o0498o
57471.413474 -20.571  3.632   -22   78 o  0   0.82 170.42082  20.17479  2426.73   929.21 5.03 3.19  -9.5 -0.519 18.12 18.83 02a57471o0202o
57471.431875 -21.353  6.261   -10   65 o  0   1.20 170.42082  20.17479  2997.32 10200.85 3.98 3.77 -53.1 -0.442 18.08 18.71 02a57471o0236o
57471.433459 -19.086  0.843   -84   71 o  0   1.02 170.42082  20.17479  2109.54   343.95 5.13 3.23 -13.7 -0.497 18.15 18.81 02a57471o0239o
57471.452154  19.397  1.587    63  100 o  0   0.80 170.42082  20.17479  4148.52  9607.43 3.64 3.56 -82.9 -0.498 18.09 18.70 02a57471o0273o
57471.473403  18.948  0.841    96   80 o  0   1.52 170.42082  20.17479  4397.84  9745.15 3.67 3.46 -69.4 -0.496 18.05 18.80 02a57471o0312o
57475.432581 -19.726  0.664   -47   31 o  0   0.98 170.42082  20.17479  3339.66 10357.91 3.77 3.63  -7.2 -0.414 18.87 20.22 02a57475o0365o
57475.440327 -19.269  0.612   -71   44 o  0   0.89 170.42082  20.17479  2471.41   500.93 5.27 3.45 -13.6 -0.482 18.85 20.23 02a57475o0376o
57475.451898   0.000 20.219    -0   30 o  0   1.21 170.42082  20.17479  4491.05  9765.02 3.62 3.56 -56.2 -0.446 18.84 20.16 02a57475o0395o
57475.475943 -23.448 20.500    -2   31 o  0   1.11 170.42082  20.17479  4398.86  9748.11 3.54 3.46 -61.4 -0.461 18.81 20.09 02a57475o0433o
57479.415652  19.712  0.471    47   22 c  0   0.89 170.42082  20.17479  2457.74  1295.51 4.80 3.57 -16.0 -0.476 19.60 21.54 02a57479o0345c
57479.430032  21.440  2.158    10   21 c  0   1.11 170.42082  20.17479  2160.87   711.83 5.20 3.64 -16.5 -0.465 19.55 21.51 02a57479o0373c
57479.441524 -20.298  0.772   -28   21 c  0   1.22 170.42082  20.17479  3347.91   121.41 5.14 3.54  -9.3 -0.467 19.60 21.54 02a57479o0395c
57479.453571 -21.632  2.455    -8   20 c  0   0.96 170.42082  20.17479  4177.39  9974.16 3.85 3.74 -26.0 -0.411 19.55 21.48 02a57479o0419c
57479.459611  20.321  0.733    27   20 c  0   0.86 170.42082  20.17479  4397.46  9743.33 3.77 3.70 -45.2 -0.429 19.58 21.49 02a57479o0430c
57483.375989 -23.199 11.500    -2   22 c  0   0.94 170.42082  20.17479  2833.70  1352.17 4.79 3.69 -12.7 -0.473 19.55 21.51 02a57483o0267c
57483.405808 -21.043  1.379   -14   19 c  0   1.31 170.42082  20.17479  2512.69   768.78 4.85 3.66 -18.0 -0.470 19.56 21.50 02a57483o0324c
57483.420115  21.497  2.040     9   19 c  0   1.22 170.42082  20.17479  4528.80 10014.38 3.92 3.85 -44.3 -0.405 19.54 21.46 02a57483o0352c
57483.422353 -20.269  0.897   -28   25 c  0   0.99 170.42082  20.17479  3698.25   179.25 4.97 3.66  -9.5 -0.463 19.54 21.47 02a57483o0356c
57483.434380  20.024  0.551    36   20 c  0   1.16 170.42082  20.17479  4403.98  9737.88 3.87 3.78 -78.9 -0.413 19.53 21.42 02a57483o0379c
57487.376727  20.333  0.691    27   18 c  0   1.37 170.42082  20.17479  2778.26  1019.16 4.85 3.73 -15.5 -0.461 19.57 21.52 02a57487o0324c
57487.387399  20.320  0.800    27   22 c  0   1.19 170.42082  20.17479  2479.55   433.21 5.09 3.72 -16.5 -0.461 19.56 21.50 02a57487o0345c
57487.394761  20.096  0.584    33   19 c  0   1.04 170.42082  20.17479  3345.52 10287.21 4.02 3.86 -35.2 -0.394 19.56 21.47 02a57487o0359c
57487.413188  19.665  0.377    49   19 c  0   1.27 170.42082  20.17479  4495.95  9696.55 3.96 3.86 -69.0 -0.420 19.53 21.48 02a57487o0396c
57487.434108  20.581  0.814    21   17 c  0   1.47 170.42082  20.17479  4402.24  9737.90 3.77 3.68 -50.7 -0.427 19.56 21.44 02a57487o0436c
57489.375937  21.567  2.923     9   25 c  0   0.89 170.42082  20.17479  2843.90   884.92 6.68 3.85  -4.3 -0.412 19.36 21.62 02a57489o0318c
57489.389806 -21.375  2.238   -10   23 c  0   1.17 170.42082  20.17479  2546.45   297.90 4.92 3.77 -15.0 -0.459 19.64 21.69 02a57489o0345c
57489.395941 -20.659  1.481   -20   29 c  0   1.06 170.42082  20.17479  3394.97 10154.83 3.97 3.82 -13.5 -0.405 19.64 21.66 02a57489o0357c
57489.414634 -21.159  1.485   -12   18 c  0   1.27 170.42082  20.17479  4542.92  9563.60 3.96 3.83 -57.7 -0.420 19.65 21.70 02a57489o0393c
57489.421176  20.435  1.189    24   29 c  0   1.03 170.42082  20.17479  4396.39  9746.21 4.35 3.76  69.1 -0.384 19.14 21.32 02a57489o0406c
57498.324076  18.503  0.551   144   80 o  0   0.84 170.42082  20.17479  2939.62   760.54 5.94 3.25  -5.9 -0.505 17.97 18.78 02a57498o0233o
57498.342080 -19.853  1.877   -42   78 o  0   0.85 170.42082  20.17479  2925.56   733.48 5.32 3.31  -9.1 -0.485 18.08 18.77 02a57498o0269o
57498.357337  19.110  0.906    82   75 o  0   0.97 170.42082  20.17479  2982.21   813.01 4.90 3.34 -11.7 -0.550 18.12 18.77 02a57498o0299o
57498.372394  20.423  3.065    25   75 o  0   0.94 170.42082  20.17479  3005.29   701.10 4.92 3.27  -9.9 -0.511 18.09 18.70 02a57498o0327o
57500.419647  20.488  2.854    23   66 o  0   1.20 170.42082  20.17479  2945.91   779.59 4.98 3.35 -10.0 -0.504 18.08 18.72 02a57500o0392o
57500.441948 -19.975  2.075   -37   77 o  0   1.16 170.42082  20.17479  2929.96   739.45 5.00 3.22  -9.1 -0.514 17.97 18.53 02a57500o0434o
57500.464289 -21.391  8.444   -10   85 o  0   1.06 170.42082  20.17479  2985.91   817.10 4.99 3.19  -6.8 -0.520 17.88 18.39 02a57500o0477o
57500.485040 -19.781  2.205   -44   98 o  0   1.03 170.42082  20.17479  3003.32   699.67 5.08 3.10  -6.7 -0.521 17.81 18.28 02a57500o0518o
57506.371653 -19.900  0.908   -40   36 o  0   0.72 170.42082  20.17479  2946.61   779.77 5.22 3.75 -13.0 -0.497 19.06 20.72 02a57506o0291o
57506.389738  20.245  1.167    29   34 o  0   0.94 170.42082  20.17479  2988.24   741.65 5.25 3.64 -11.3 -0.492 19.08 20.72 02a57506o0325o
57506.408746 -19.542  0.734   -55   41 o  0   0.81 170.42082  20.17479  2935.65   722.45 5.17 3.57 -11.2 -0.472 18.93 20.43 02a57506o0361o
57506.427181 -20.164  1.327   -31   41 o  0   0.86 170.42082  20.17479  3009.35   800.69 5.15 3.62 -10.7 -0.499 18.76 20.15 02a57506o0397o
57506.445680  23.153 24.667     2   49 o  0   0.74 170.42082  20.17479  2918.98   819.27 5.39 3.86 -12.2 -0.486 18.60 19.95 02a57506o0433o
57510.373966 -20.709  1.265   -19   24 c  0   0.99 170.42082  20.17479  2949.44   780.14 5.25 3.86 -12.1 -0.466 19.47 21.48 02a57510o0311c
57510.393014  21.096  1.917    13   25 c  0   0.79 170.42082  20.17479  2989.78   741.72 5.16 3.80 -11.5 -0.476 19.41 21.42 02a57510o0348c
57510.411964  21.221  2.278    12   27 c  0   0.99 170.42082  20.17479  2936.71   721.68 5.77 4.36 -11.4 -0.401 19.30 21.34 02a57510o0385c
57510.431014  21.438  2.687    10   26 c  0   0.97 170.42082  20.17479  3010.61   800.36 5.39 4.10 -11.2 -0.427 19.28 21.25 02a57510o0422c
57510.450108  22.123  5.714     5   29 c  0   1.04 170.42082  20.17479  2920.05   819.47 5.89 4.67 -11.1 -0.379 19.11 21.16 02a57510o0459c
57524.314603 -20.046  1.397   -35   49 o  0   0.97 170.42082  20.17479  3947.26   330.96 4.35 3.34 -10.5 -0.518 18.42 19.29 02a57524o0080o
57524.326009  20.215  1.847    30   55 o  0   0.87 170.42082  20.17479  4002.50   410.35 4.37 3.44 -10.8 -0.536 18.41 19.27 02a57524o0103o
57524.334277 -20.329  2.109   -27   57 o  0   0.99 170.42082  20.17479  4043.87   293.77 4.33 3.30 -10.7 -0.522 18.43 19.29 02a57524o0119o
57524.344473  18.670  0.960   124  119 o  0   0.87 170.42082  20.17479  3990.36   349.72 4.33 3.24 -10.0 -0.553 17.59 18.03 02a57524o0139o
57525.305240  20.304  2.067    27   57 o  0   0.80 170.42082  20.17479  4832.48  9807.69 3.84 3.75 -29.8 -0.464 18.34 19.26 02a57525o0164o
57525.318046  23.235 27.500     2   51 o  0   1.18 170.42082  20.17479  4814.19  9769.57 3.84 3.77 -67.6 -0.458 18.32 19.22 02a57525o0185o
57525.330331  20.001  1.400    36   51 o  0   1.22 170.42082  20.17479  4871.09  9849.45 3.88 3.79 -42.4 -0.450 18.31 19.19 02a57525o0205o
57525.342469  19.639  1.035    51   52 o  0   0.97 170.42082  20.17479  4891.51  9732.32 3.84 3.79 -52.5 -0.443 18.28 19.13 02a57525o0227o
57525.361591  20.199  1.953    30   59 o  0   0.91 170.42082  20.17479  4858.84  9790.26 3.95 3.87 -54.9 -0.432 18.21 19.07 02a57525o0266o
57528.270519 -20.279  1.789   -28   50 o  0   1.02 170.42082  20.17479  1928.20  2068.33 4.16 3.45 -24.9 -0.538 18.40 19.25 02a57528o0134o
57528.302605 -19.440  0.920   -61   56 o  0   0.86 170.42082  20.17479  1948.04  2054.64 4.53 3.44 -20.0 -0.532 18.34 19.21 02a57528o0176o
57532.260974 -19.226  0.468   -74   35 o  0   0.79 170.42082  20.17479  3232.31  2475.73 4.54 3.63 -11.8 -0.514 19.01 20.67 02a57532o0039o
57532.264193 -19.326  0.496   -68   34 o  0   0.88 170.42082  20.17479  3288.11  2555.61 4.69 3.68 -11.4 -0.498 18.99 20.68 02a57532o0045o
57532.283259  20.979  2.500    15   37 o  0   0.75 170.42082  20.17479  3309.52  2440.99 4.88 3.87 -17.5 -0.520 18.86 20.48 02a57532o0082o
57532.290443 -20.258  1.358   -29   39 o  0   0.75 170.42082  20.17479  3269.52  2498.76 4.65 3.48 -10.6 -0.489 18.77 20.23 02a57532o0094o
57543.296425  21.292  1.958    11   22 c  0   1.33 170.42082  20.17479  2590.95  9438.49 4.19 3.96 -45.5 -0.441 19.35 21.30 02a57543o0171c
57543.308667 -20.491  1.020   -23   24 c  0   1.05 170.42082  20.17479  2648.44  9513.52 4.07 3.80 -34.6 -0.443 19.34 21.25 02a57543o0195c
57543.321689  20.906  1.529    16   24 c  0   1.26 170.42082  20.17479  2670.10  9393.46 4.08 3.82 -32.8 -0.444 19.31 21.23 02a57543o0219c
57543.335271  20.912  1.688    16   26 c  0   1.14 170.42082  20.17479  2633.50  9451.87 4.01 3.77 -31.8 -0.441 19.20 21.09 02a57543o0242c
57547.276307  20.949  1.514    15   23 c  0   1.26 170.42082  20.17479  5106.94  9527.39 3.94 3.87  40.3 -0.435 19.37 21.25 02a57547o0085c
57565.256172 -19.468  0.835   -59   50 o  0   1.06 170.42082  20.17479  3335.48   708.56 4.09 3.57 -41.5 -0.509 18.44 19.57 02a57565o0049o
57565.257621  17.309  0.793   433  344 o  0   0.09 170.42082  20.17479  4159.44 10523.79 3.88 3.70  21.1 -0.450 18.56 19.80 02a57565o0052o
57565.282853  19.219  0.732    74   54 o  0   0.93 170.42082  20.17479  4229.09 10480.92 3.67 3.59  11.1 -0.474 18.91 20.44 02a57565o0095o
57565.284747 -20.078  1.091   -34   37 o  0   1.09 170.42082  20.17479  3387.07   743.85 4.10 3.32 -23.8 -0.463 18.93 20.47 02a57565o0098o
57565.296232  21.378  4.263    10   44 o  0   0.86 170.42082  20.17479  3402.99   624.25 4.66 3.01  -7.6 -0.502 18.90 20.43 02a57565o0116o
57565.308027 -19.184  0.566   -77   44 o  0   0.97 170.42082  20.17479  3366.27   683.49 4.54 3.07  -9.3 -0.518 18.85 20.38 02a57565o0136o
57569.271861 -15.278  0.632 -2812 1777 o  0   0.87 170.42082  20.17479  3473.77   464.38 4.65 3.51 -17.6 -0.622 15.14 16.40 02a57569o0074o
57569.276271 -16.100  0.866 -1318 1141 o  0   0.77 170.42082  20.17479  4335.32 10354.44 3.86 3.68  13.7 -0.496 14.98 16.23 02a57569o0083o
