###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
58054.599763  21.347  1.063    10   11 o  0   1.12 136.46285  -8.58543  7523.57  3401.35 2.03 1.98 -60.8 -0.453 19.58 20.51 02a58054o0848o
58056.551326  20.661  1.037    20   20 o  0   0.99 136.46285  -8.58543  1944.14  9988.82 3.51 3.02 -81.9 -0.422 18.92 20.29 01a58056o0631o
58056.557746 -21.916  2.964    -6   18 o  0   1.26 136.46285  -8.58543  1901.28  9939.55 3.36 2.89 -82.7 -0.431 19.03 20.35 01a58056o0645o
58056.565083  23.264 10.714     2   19 o  0   1.05 136.46285  -8.58543  1975.49 10005.20 3.60 3.19 -84.0 -0.412 18.96 20.43 01a58056o0658o
58056.569683 -20.829  0.973   -17   16 o  0   1.10 136.46285  -8.58543  1992.19  9878.70 3.39 2.94 -84.6 -0.427 19.09 20.51 01a58056o0668o
58056.571519 -20.370  0.716   -26   18 o  0   0.77 136.46285  -8.58543  7755.89   269.65 3.46 2.99  89.2 -0.441 19.08 20.48 01a58056o0672o
58056.579121 -21.133  1.241   -13   16 o  0   1.18 136.46285  -8.58543  7732.94   215.20 3.41 3.08  77.2 -0.428 19.13 20.59 01a58056o0681o
58056.582789  25.454 69.000     0   16 o  0   1.24 136.46285  -8.58543  7788.97   285.66 3.46 3.05  86.9 -0.435 19.14 20.62 01a58056o0689o
58056.586487 -21.592  1.933    -8   16 o  0   1.33 136.46285  -8.58543  7806.81   159.47 3.78 3.35  88.2 -0.414 19.05 20.65 01a58056o0697o
58058.530571 -19.862  0.707   -41   29 o  0   0.84 136.46285  -8.58543 10405.65  1175.56 2.81 2.00  49.9 -0.464 18.71 18.94 02a58058o0549o
58058.537044  20.390  1.213    25   31 o  0   1.19 136.46285  -8.58543 10425.00  1214.70 2.81 1.99  49.7 -0.430 18.81 19.04 02a58058o0563o
58058.540359 -22.093  4.886    -5   26 o  0   1.38 136.46285  -8.58543   632.50  1156.65 1.85 1.75  47.3 -0.701 18.64 18.88 02a58058o0567o
