#expname,ra,dec,mag,dm,snr,filter,zp,mjd,x,y,peakval,skyval,peakfit,dpeak,skyfit,flux,dflux,chin,major,minor,snrdet,snrlimit,apfit,uJy,duJy,mag5sig,texp
01a59721o0435o,284.214665,36.6187966666667,>20.12,0.0,3.0,o,22.157,59721.43231405,4669.72,1178.4,186.0,181.3,2.1,7.2,183.1,701.3,524.9,1.49,3.24,2.79,1.0,3.0,-0.3907,4.515722579739196,15.482477416248669,19.11,30.0
01a59721o0451o,284.214665,36.6187966666667,18.16,0.08,12.98,o,22.162,59721.43968495,4649.89,1138.19,296.0,182.6,110.3,8.5,183.6,2378.2,541.7,9.25,2.75,2.57,1.0,3.0,-0.4687,198.33532623423798,15.284227316328403,19.24,30.0
01a59721o0480o,284.214665,36.6187966666667,>20.19,0.0,3.0,o,22.17,59721.45303945,4710.82,1212.87,174.0,181.5,-2.9,8.7,180.8,795.0,533.9,1.44,2.77,2.58,1.0,3.0,-0.4537,-5.162454276994847,15.48736283098454,19.24,30.0
01a59721o0494o,284.214665,36.6187966666667,>19.733943297944485,0.0,1.36,o,22.173,59721.45949175,4729.86,1093.76,177.0,182.8,12.0,8.8,180.5,412.2,604.8,1.47,2.72,2.56,1.0,3.0,-0.4667,21.006266003289085,15.404595069078665,19.24,30.0
02a59721o0520o,284.214665,36.6187966666667,>20.38,0.0,3.0,o,22.104,59721.48230885,5344.22,5347.95,169.0,179.3,-15.9,12.2,178.8,129.6,663.6,1.39,2.17,1.84,1.0,3.0,-0.4577,-16.866828397595143,12.94184317299753,19.45,30.0
02a59721o0524o,284.214665,36.6187966666667,>20.36,0.0,3.0,o,22.103,59721.48419465,5362.98,5386.7,175.0,182.2,-9.0,11.2,180.7,219.8,606.8,1.48,2.3,1.93,1.0,3.0,-0.4457,-10.507185503168222,13.075608626164895,19.4,30.0
02a59721o0531o,284.214665,36.6187966666667,>20.4,0.0,3.0,o,22.104,59721.48739425,5304.52,5309.63,198.0,179.3,2.5,11.2,182.0,2380.9,773.6,0.93,2.26,1.9,1.0,3.0,-0.4487,2.828530030810645,12.67181453803169,19.4,30.0
02a59721o0550o,284.214665,36.6187966666667,>20.37,0.0,3.0,o,22.108,59721.49711865,5288.66,5425.04,169.0,179.0,0.9,12.1,180.8,1057.8,682.4,0.92,2.2,1.87,1.0,3.0,-0.4537,0.9764849228693689,13.128297296354846,19.49,30.0
02a59723o0422c,284.214665,36.6187966666667,>20.18,0.0,3.0,c,22.129,59723.42987435,3835.63,9514.55,158.0,177.6,-16.7,8.1,176.2,-1124.0,588.2,1.04,2.99,2.49,1.0,3.0,-0.3827,-30.126296901376744,14.61215598210489,19.39,30.0
02a59723o0474c,284.214665,36.6187966666667,>20.15,0.0,3.0,c,22.144,59723.45386445,3872.67,9558.58,208.0,179.0,1.2,8.6,177.5,-695.9,605.4,1.06,2.93,2.48,1.0,3.0,-0.3887,2.0953631044769367,15.016768915418044,19.42,30.0
02a59723o0524c,284.214665,36.6187966666667,>20.23,0.0,3.0,c,22.156,59723.47699055,3805.5,9478.38,167.0,179.3,-9.5,7.8,177.3,-696.9,557.9,1.38,3.03,2.49,1.0,3.0,-0.3797,-16.89368243689644,13.870602421872865,19.42,30.0
02a59723o0536c,284.214665,36.6187966666667,>20.21,0.0,3.0,c,22.158,59723.48261475,3794.05,9597.99,153.0,177.3,-2.7,9.2,176.7,-1845.3,728.5,1.11,2.73,2.4,1.0,3.0,-0.3977,-4.2315200030358815,14.418512602937078,19.51,30.0
01a59723o0593o,284.214665,36.6187966666667,>20.2,0.0,3.0,o,22.206,59723.51084825,4668.31,1167.11,182.0,182.6,-6.3,7.4,181.7,-466.0,528.1,1.49,3.03,2.84,1.0,3.0,-0.4477,-12.99152888583717,15.259891072253183,19.25,30.0
02a59723o0604c,284.214665,36.6187966666667,>20.28,0.0,3.0,c,22.164,59723.51450185,3833.01,9541.83,175.0,178.6,-9.8,8.4,176.4,-612.7,666.7,1.31,2.76,2.45,1.0,3.0,-0.3967,-15.749254005684,13.499360576300571,19.52,30.0
01a59723o0601o,284.214665,36.6187966666667,>20.15,0.0,3.0,o,22.207,59723.51460555,4647.32,1127.85,189.0,182.4,-5.8,7.7,182.3,173.0,587.1,1.41,3.05,2.82,1.0,3.0,-0.4547,-12.020864077238997,15.958733343920741,19.21,30.0
01a59723o0651o,284.214665,36.6187966666667,>19.805272074306515,0.0,2.55,o,22.208,59723.53916975,4704.64,1200.48,201.0,180.6,18.9,7.4,180.4,374.1,685.8,1.6,2.94,2.73,1.0,3.0,-0.4637,36.82396311794205,14.417847993268317,19.3,30.0
01a59723o0680o,284.214665,36.6187966666667,>19.79138969543007,0.0,1.01,o,22.207,59723.55282795,5828.01,9478.36,171.0,182.1,7.7,7.6,178.6,-84.3,547.2,1.17,2.93,2.72,1.0,3.0,-0.4607,14.86914493973035,14.676039161292293,19.34,30.0
01a59725o0537o,284.214665,36.6187966666667,>20.07,0.0,3.0,o,22.195,59725.48047225,4672.53,1166.12,174.0,182.2,3.8,8.1,184.6,529.0,676.3,1.08,3.04,2.88,1.0,3.0,-0.4337,7.950755773451422,16.947663622356977,19.14,30.0
01a59725o0559o,284.214665,36.6187966666667,>20.17,0.0,3.0,o,22.198,59725.49107525,4650.34,1125.64,176.0,181.7,-9.5,7.4,181.2,-419.5,551.3,1.66,3.04,2.87,1.0,3.0,-0.4317,-19.716863549336935,15.358398975272987,19.17,30.0
01a59725o0563o,284.214665,36.6187966666667,>20.16,0.0,3.0,o,22.197,59725.49291725,4711.48,1202.02,194.0,182.9,3.5,7.4,179.6,-621.9,505.8,1.55,3.07,2.88,1.0,3.0,-0.4267,7.334282818800198,15.506769388320425,19.15,30.0
01a59725o0574o,284.214665,36.6187966666667,>20.08,0.0,3.0,o,22.197,59725.49804565,4730.9,1084.89,206.0,182.0,4.7,7.9,183.5,971.1,515.8,1.38,3.06,2.9,1.0,3.0,-0.4337,9.94892203679263,16.72265618950251,19.15,30.0
02a59726o0570c,284.214665,36.6187966666667,>20.35,0.0,3.0,c,22.159,59726.50337455,3858.53,9517.7,150.0,176.6,1.2,8.9,174.1,671.1,713.7,1.18,2.57,2.32,1.0,3.0,-0.4157,1.7384455775882504,12.893471367112861,19.62,30.0
02a59726o0574c,284.214665,36.6187966666667,>20.35,0.0,3.0,c,22.16,59726.50526015,3879.19,9557.2,187.0,179.2,-1.2,9.0,176.0,-1053.6,660.5,1.33,2.55,2.31,1.0,3.0,-0.4177,-1.7190644198663954,12.892983148997967,19.66,30.0
02a59726o0581c,284.214665,36.6187966666667,>19.982972923794264,0.0,1.54,c,22.162,59726.50846105,3819.26,9478.29,199.0,177.1,12.9,8.4,178.4,517.2,532.9,1.34,2.59,2.33,1.0,3.0,-0.4147,18.845347093247103,12.271388804905088,19.67,30.0
02a59726o0626c,284.214665,36.6187966666667,>20.36,0.0,3.0,c,22.163,59726.53070415,3802.96,9597.44,179.0,175.9,5.8,8.3,173.5,20.0,544.7,1.64,2.65,2.39,1.0,3.0,-0.4107,8.851778006417067,12.667199560907186,19.65,30.0
02a59727o0538c,284.214665,36.6187966666667,>19.73,0.0,3.0,c,21.66,59727.48446275,3849.13,9518.97,175.0,176.5,-8.6,9.2,178.3,-258.6,710.3,1.15,2.7,2.38,1.0,3.0,-0.4017,-20.989298201078302,22.453667843014,19.0,30.0
02a59727o0544c,284.214665,36.6187966666667,>19.87,0.0,3.0,c,21.804,59727.48721795,3873.05,9558.14,209.0,179.6,1.7,9.1,173.1,-2596.4,593.9,1.2,2.74,2.38,1.0,3.0,-0.3997,3.6807403871968765,19.702786778524455,19.13,30.0
02a59727o0556c,284.214665,36.6187966666667,>19.691989642577767,0.0,1.68,c,21.98,59727.49276595,3812.53,9480.78,181.0,181.1,14.3,8.5,176.6,-1096.6,521.7,1.0,2.78,2.41,1.0,3.0,-0.3977,26.9995559297218,16.048687091093377,19.32,30.0
02a59727o0578c,284.214665,36.6187966666667,>19.8,0.0,3.0,c,21.747,59727.50313715,3794.75,9599.35,170.0,175.5,-6.6,9.3,177.5,1202.6,646.1,1.16,2.7,2.39,1.0,3.0,-0.3997,-14.90267896469549,20.999229450252734,19.12,30.0
01a59728o0565o,284.214665,36.6187966666667,>17.41,0.0,3.0,o,19.403,59728.50272215,1214.2,9585.52,200.0,175.6,-24.7,9.6,179.8,9.0,692.6,1.47,2.63,2.49,1.0,3.0,-0.4927,-534.0855082996305,207.57979269945156,16.62,30.0
02a59730o0663c,284.214665,36.6187966666667,>20.02,0.0,3.0,c,21.664,59730.54660785,1240.09,5005.0,171.0,179.4,-2.7,7.0,180.5,1121.9,505.6,1.53,2.7,2.4,1.0,3.0,-0.4027,-6.6267031340117635,17.180341458549016,18.99,30.0
02a59730o0670c,284.214665,36.6187966666667,>20.47,0.0,3.0,c,22.12,59730.54988945,1220.33,4966.35,208.0,178.4,1.3,7.0,179.7,990.6,503.0,1.83,2.72,2.41,1.0,3.0,-0.4007,2.1168400526779103,11.398369514419517,19.45,30.0
02a59730o0735c,284.214665,36.6187966666667,>19.8486206901438,0.0,1.66,c,21.987,59730.58212455,1275.5,5041.83,191.0,178.1,11.3,6.8,178.3,809.9,515.3,1.42,2.84,2.6,1.0,3.0,-0.3877,23.148821002954264,13.930263966379558,19.32,30.0
02a59730o0791c,284.214665,36.6187966666667,>20.25,0.0,3.0,c,22.145,59730.61086735,1289.36,4925.54,169.0,179.2,-13.1,7.9,179.5,-204.8,717.2,1.31,2.83,2.56,1.0,3.0,-0.3957,-22.93276611235655,13.829683380734107,19.29,30.0
01a59731o0486o,284.214665,36.6187966666667,>20.27,0.0,3.0,o,22.197,59731.46881745,1170.94,9549.04,161.0,180.9,-15.0,7.8,177.0,-2318.4,636.0,1.25,2.83,2.68,1.0,3.0,-0.4597,-27.795291556064928,14.453551609153763,19.37,30.0
01a59731o0523o,284.214665,36.6187966666667,>20.26,0.0,3.0,o,22.2,59731.48827195,1155.15,9509.47,177.0,178.6,-1.3,8.0,176.2,-596.1,625.9,1.12,2.81,2.66,1.0,3.0,-0.4607,-2.3696819151374435,14.582657939307346,19.37,30.0
01a59731o0530o,284.214665,36.6187966666667,>20.27,0.0,3.0,o,22.201,59731.49149535,1213.96,9584.29,176.0,178.3,-9.9,7.9,179.2,188.1,620.0,1.45,2.82,2.67,1.0,3.0,-0.4567,-18.0948217617218,14.439302213899213,19.36,30.0
01a59731o0538o,284.214665,36.6187966666667,>20.28,0.0,3.0,o,22.2,59731.49517785,1231.75,9465.24,134.0,178.4,-9.0,7.7,177.0,-520.3,641.6,1.77,2.83,2.68,1.0,3.0,-0.4567,-16.58526764221664,14.189617871674233,19.39,30.0
01a59732o0484o,284.214665,36.6187966666667,>19.771634209710392,0.0,2.16,o,22.201,59732.46599115,1172.01,9546.74,193.0,187.1,17.9,8.3,180.8,-859.4,682.8,1.45,2.79,2.64,1.0,3.0,-0.4637,32.21216436182853,14.936366715261277,19.36,30.0
01a59732o0489o,284.214665,36.6187966666667,>20.21,0.0,3.0,o,22.201,59732.46829615,1151.86,9508.12,170.0,179.1,-12.1,8.3,173.7,-2054.9,627.0,1.58,2.82,2.68,1.0,3.0,-0.4567,-22.198724325241724,15.227224123926145,19.31,30.0
