#expname,ra,dec,mag,dm,snr,filter,zp,mjd,x,y,peakval,skyval,peakfit,dpeak,skyfit,flux,dflux,chin,major,minor,snrdet,snrlimit,apfit,uJy,duJy,mag5sig,texp
01a59229o0658c,170.420820357143,20.1747992857143,19.94,0.22,4.36,c,22.395,59229.65311225,7153.91,7004.12,217.0,180.4,37.1,8.5,181.3,424.1,543.2,1.17,2.41,2.25,1.0,3.0,-0.3937,38.54181971333745,8.830336052920979,19.91,30.0
02a59231o0650c,170.420820357143,20.1747992857143,>20.08484400761136,0.0,2.24,c,22.237,59231.51167465,4110.1,546.18,213.0,180.8,19.3,8.6,179.2,-676.8,616.1,1.14,2.52,2.31,1.0,3.0,-0.4067,25.195824518885228,11.2271549669644,19.79,30.0
02a59231o0654c,170.420820357143,20.1747992857143,>20.066790387413803,0.0,2.47,c,22.236,59231.51351755,4128.89,585.37,225.0,180.4,21.2,8.6,178.8,-1052.1,573.1,0.84,2.54,2.32,1.0,3.0,-0.4037,27.965095561166777,11.344331218209165,19.8,30.0
02a59231o0662c,170.420820357143,20.1747992857143,>20.10795856213723,0.0,1.12,c,22.235,59231.51779315,4074.12,506.23,182.0,179.7,9.5,8.5,177.6,-1840.3,670.1,1.12,2.51,2.3,1.0,3.0,-0.4047,12.29939949708104,11.004725865809352,19.8,30.0
02a59231o0673c,170.420820357143,20.1747992857143,20.11,0.31,3.06,c,22.237,59231.52290835,4054.54,622.87,193.0,180.7,24.5,8.0,179.8,-480.4,568.3,1.39,2.54,2.34,1.0,3.0,-0.4107,32.77739264841769,10.702822089279245,19.79,30.0
01a59233o0140c,170.420820357143,20.1747992857143,>16.7,0.0,3.0,c,18.348,59233.48704605,4543.29,10065.7,171.0,181.0,-12.0,6.7,181.3,-73.2,504.5,0.96,2.94,2.31,1.0,3.0,-0.4037,-655.0874835235901,365.7571783006711,15.71,30.0
01a59233o0146c,170.420820357143,20.1747992857143,>18.0,0.0,3.0,c,19.607,59233.48980645,4600.67,10144.4,179.0,180.5,5.1,7.3,180.4,-229.4,507.4,1.18,2.76,2.19,1.0,3.0,-0.4117,78.28564214832116,112.05591915347932,17.03,30.0
01a59233o0157c,170.420820357143,20.1747992857143,>18.02,0.0,3.0,c,19.73,59233.49487465,4622.75,10029.2,204.0,180.1,4.0,6.4,177.8,-703.2,422.8,1.1,2.86,2.65,1.0,3.0,-0.3867,67.1785527838459,107.48568445415343,17.03,30.0
02a59235o0669c,170.420820357143,20.1747992857143,>19.78,0.0,3.0,c,21.248,59235.52469575,4191.03,2497.97,164.0,181.7,-7.9,6.7,181.0,-631.4,426.5,1.03,2.51,2.3,1.0,3.0,-0.4077,-25.45583774162443,21.589128211251097,18.74,30.0
02a59235o0673c,170.420820357143,20.1747992857143,>19.76,0.0,3.0,c,21.293,59235.52705445,4211.09,2534.37,203.0,182.6,0.2,6.9,181.6,-114.9,393.5,1.21,2.55,2.33,1.0,3.0,-0.4007,0.6322441831769321,21.81242431960415,18.77,30.0
02a59235o0680c,170.420820357143,20.1747992857143,>19.81,0.0,3.0,c,21.322,59235.53027125,4154.11,2457.02,181.0,182.4,-3.7,6.6,182.7,296.0,453.4,1.33,2.58,2.36,1.0,3.0,-0.3957,-11.61695155537888,20.722129801486645,18.75,30.0
02a59235o0691c,170.420820357143,20.1747992857143,>19.79,0.0,3.0,c,21.346,59235.53545295,4136.12,2573.39,206.0,181.9,3.1,6.6,183.9,699.7,365.0,1.24,2.63,2.42,1.0,3.0,-0.3947,9.942407371847295,21.167706017481336,18.82,30.0
01a59237o0008c,170.420820357143,20.1747992857143,>17.39757936481228,0.0,1.63,c,20.239,59237.61138105,5952.5,440.33,229.0,179.6,25.1,15.4,181.4,102.8,1051.9,1.08,2.79,2.24,1.0,3.0,-0.3817,216.51335432931248,132.8408628155941,17.76,30.0
01a59237o0015c,170.420820357143,20.1747992857143,>19.16,0.0,3.0,c,19.312,59237.61460195,5974.01,480.17,184.0,180.6,-4.8,2.1,180.1,-136.1,176.4,0.88,2.46,2.23,1.0,3.0,-0.3887,-85.90925498650498,37.58529905659593,16.9,30.0
01a59237o0028c,170.420820357143,20.1747992857143,>16.68,0.0,3.0,c,18.483,59237.62058515,5917.22,403.61,173.0,181.1,7.7,10.0,180.1,-371.4,606.2,1.09,2.38,2.22,1.0,3.0,-0.3817,282.9954167444728,367.5265152525619,16.12,30.0
01a59249o0149o,170.420820357143,20.1747992857143,>19.42,0.0,3.0,o,21.773,59249.64219625,8091.65,4201.28,198.0,174.2,-3.5,19.3,170.9,-1141.0,1028.4,1.34,2.27,2.0,1.0,3.0,-0.4077,-5.4686816511555385,30.155873104943392,18.45,30.0
01a59249o0162o,170.420820357143,20.1747992857143,>18.92696261140213,0.0,1.32,o,21.738,59249.64824295,8112.04,4240.12,190.0,181.6,28.6,21.7,182.2,783.0,1434.4,1.22,2.16,1.95,1.0,3.0,-0.4097,42.89563892027419,32.54669106887936,18.45,30.0
01a59249o0190o,170.420820357143,20.1747992857143,>19.55802887352806,0.0,2.27,o,22.131,59249.66120135,8053.69,4166.14,193.0,179.8,36.8,16.2,179.9,857.9,966.6,0.94,2.25,2.01,1.0,3.0,-0.4077,41.189369061359514,18.132276597663697,19.03,30.0
01a59249o0197o,170.420820357143,20.1747992857143,>19.12304738403255,0.0,1.52,o,21.854,59249.66442975,8033.63,4283.85,239.0,179.6,28.0,18.4,182.5,2316.7,1026.9,0.78,2.27,2.05,1.0,3.0,-0.4037,41.466415480718624,27.24935874447223,18.53,30.0
02a59251o0639o,170.420820357143,20.1747992857143,>20.44,0.0,3.0,o,22.171,59251.55658525,9466.54,1893.58,211.0,180.7,7.5,12.3,183.0,760.1,586.5,1.07,2.13,1.88,1.0,3.0,-0.4467,7.426043029482164,12.178710568350752,19.69,30.0
02a59251o0646o,170.420820357143,20.1747992857143,>19.999677083668235,0.0,1.73,o,22.172,59251.55978755,9447.89,1854.47,228.0,180.1,21.4,12.4,177.5,1247.7,573.5,1.35,2.11,1.86,1.0,3.0,-0.4497,20.80500948602282,12.055239141433782,19.69,30.0
02a59251o0661o,170.420820357143,20.1747992857143,>20.00245179694708,0.0,1.55,o,22.17,59251.56682095,9506.51,1933.32,221.0,180.8,18.9,12.2,182.2,1201.2,659.3,1.62,2.14,1.88,1.0,3.0,-0.4417,18.732346049544454,12.091778931451977,19.66,30.0
02a59251o0681o,170.420820357143,20.1747992857143,>20.033389657891995,0.0,2.12,o,22.17,59251.57673575,9528.27,1816.96,198.0,180.9,24.6,11.6,179.7,944.6,679.9,1.36,2.15,1.9,1.0,3.0,-0.4457,24.84768388358438,11.716794026405642,19.69,30.0
01a59253o0495c,170.420820357143,20.1747992857143,20.06,0.28,3.37,c,22.396,59253.46112475,2460.14,6340.78,211.0,181.0,23.6,7.0,182.1,-271.0,628.7,1.37,2.99,2.62,1.0,3.0,-0.3587,34.26440761793101,10.163171751081233,19.67,30.0
01a59253o0501c,170.420820357143,20.1747992857143,>20.09970669691144,0.0,2.21,c,22.396,59253.46389065,2440.58,6302.68,199.0,181.6,13.5,6.1,182.4,830.0,454.0,1.84,3.34,2.97,1.0,3.0,-0.3457,24.524232790011016,11.081320001412385,19.54,30.0
01a59253o0507c,170.420820357143,20.1747992857143,>20.004264675097907,0.0,2.1,c,22.398,59253.46665325,2499.1,6379.55,205.0,180.4,14.3,6.8,181.7,643.9,576.6,1.27,3.26,3.01,1.0,3.0,-0.3337,25.36757063985114,12.062900723845297,19.55,30.0
01a59253o0518c,170.420820357143,20.1747992857143,>20.356453327014112,0.0,2.01,c,22.396,59253.47181525,2517.11,6261.62,188.0,181.5,16.3,8.1,179.1,-1741.5,511.3,1.88,2.5,2.22,1.0,3.0,-0.4037,17.47589122240276,8.6843385829118,19.84,30.0
02a59255o0533c,170.420820357143,20.1747992857143,>20.52,0.0,3.0,c,22.234,59255.46378535,1124.72,8670.29,182.0,181.0,2.3,8.1,180.3,-1369.2,642.1,1.53,2.56,2.33,1.0,3.0,-0.3957,3.0540944770610072,10.755724027910505,19.8,30.0
02a59255o0538c,170.420820357143,20.1747992857143,>20.41,0.0,3.0,c,22.234,59255.46607225,1144.03,8709.66,197.0,179.9,1.4,8.9,179.4,-856.4,557.5,1.32,2.57,2.34,1.0,3.0,-0.3947,1.8725600843951824,11.904131965083662,19.79,30.0
02a59255o0546c,170.420820357143,20.1747992857143,>20.151751903146252,0.0,2.95,c,22.236,59255.46981455,1085.43,8630.56,213.0,180.8,23.6,8.0,179.2,-306.1,549.4,1.64,2.57,2.31,1.0,3.0,-0.3947,31.103971941434725,10.543719302181264,19.79,30.0
02a59255o0557c,170.420820357143,20.1747992857143,>20.096833171218524,0.0,2.58,c,22.235,59255.47510665,1062.31,8748.69,168.0,180.9,22.2,8.6,177.2,75.4,563.4,1.25,2.51,2.3,1.0,3.0,-0.3987,28.583359872446454,11.072833103740518,19.77,30.0
01a59257o0634c,170.420820357143,20.1747992857143,>20.063152771115483,0.0,1.19,c,22.406,59257.50391135,9243.89,8771.62,183.0,180.3,10.8,9.1,180.9,1408.9,639.6,1.28,2.66,2.54,1.0,3.0,-0.3717,13.56119166420008,11.426559642983397,19.73,30.0
01a59257o0641c,170.420820357143,20.1747992857143,>20.273877696554315,0.0,1.76,c,22.408,59257.50722675,9265.62,8809.32,192.0,181.2,15.0,8.5,179.8,93.8,506.6,1.1,2.5,2.38,1.0,3.0,-0.3777,16.648187944572207,9.433973168590917,19.83,30.0
01a59257o0690c,170.420820357143,20.1747992857143,>20.30259516882726,0.0,2.08,c,22.405,59257.53170885,9213.2,8725.87,190.0,181.3,18.1,8.7,182.7,924.4,518.7,1.18,2.42,2.31,1.0,3.0,-0.3867,19.08379163158313,9.172872220705703,19.87,30.0
01a59257o0703c,170.420820357143,20.1747992857143,>20.322781360694382,0.0,1.9,c,22.405,59257.53788295,9196.37,8842.0,214.0,179.7,16.7,8.8,180.2,406.3,628.9,1.21,2.4,2.27,1.0,3.0,-0.3807,17.065236656000614,8.992460034299725,19.86,30.0
01a59261o0473c,170.420820357143,20.1747992857143,>20.43,0.0,3.0,c,22.329,59261.43564685,1310.47,1784.47,177.0,179.0,1.3,9.4,180.4,-240.3,614.6,1.99,2.56,2.38,1.0,3.0,-0.3827,1.596316563557929,11.542596690341949,19.73,30.0
01a59261o0478c,170.420820357143,20.1747992857143,>20.56,0.0,3.0,c,22.383,59261.43796335,1289.07,1745.27,146.0,181.2,-1.6,9.9,182.7,262.2,595.5,1.15,2.4,2.26,1.0,3.0,-0.3877,-1.671854231712782,10.344598058722841,19.81,30.0
01a59261o0489c,170.420820357143,20.1747992857143,>20.64,0.0,3.0,c,22.405,59261.44316775,1349.25,1821.84,188.0,181.2,4.9,9.4,180.7,48.0,570.1,1.24,2.39,2.27,1.0,3.0,-0.3877,5.018553790836582,9.627429721196707,19.84,30.0
01a59261o0522c,170.420820357143,20.1747992857143,>20.65,0.0,3.0,c,22.408,59261.46015955,1369.05,1704.53,186.0,180.8,-10.2,10.3,180.1,136.2,656.6,1.62,2.28,2.15,1.0,3.0,-0.3927,-9.456539130075274,9.549250298017188,19.9,30.0
02a59263o0382c,170.420820357143,20.1747992857143,>18.27,0.0,3.0,c,20.179,59263.52538915,4388.67,6226.73,177.0,179.4,-5.3,9.8,179.3,-484.1,638.5,0.89,2.55,2.32,1.0,3.0,-0.4037,-46.67268439613764,86.30043529851865,17.53,30.0
02a59263o0388c,170.420820357143,20.1747992857143,>18.85,0.0,3.0,c,20.395,59263.52837165,4374.05,6191.03,173.0,181.0,2.4,7.3,180.2,-214.2,431.6,1.09,2.49,2.28,1.0,3.0,-0.3987,16.546425227323798,50.32871006644322,17.83,30.0
02a59263o0399c,170.420820357143,20.1747992857143,>17.686677118008827,0.0,2.17,c,19.743,59263.53359535,4432.01,6266.98,197.0,181.5,16.9,7.8,178.9,-607.3,516.3,1.0,2.54,2.31,1.0,3.0,-0.4077,221.35592257491257,102.16427195765198,17.09,30.0
