#expname,ra,dec,mag,dm,snr,filter,zp,mjd,x,y,peakval,skyval,peakfit,dpeak,skyfit,flux,dflux,chin,major,minor,snrdet,snrlimit,apfit,uJy,duJy,mag5sig,texp
01a59181o0712o,170.42086,20.17485,>19.53,0.0,3.0,o,22.236,59181.55059065,5313.49,3523.63,127.0,173.6,14.8,15.5,178.1,3856.0,1156.3,1.08,3.0,2.6,1.0,3.0,-0.3917,25.55730544226732,26.766096915888074,18.59,30.0
01a59181o0718o,170.42086,20.17485,>19.58,0.0,3.0,o,22.24,59181.55335085,5292.96,3481.2,168.0,181.0,1.6,16.2,174.0,-5892.9,1125.8,1.06,2.76,2.58,1.0,3.0,-0.3857,2.4992374269951174,25.304778948325566,18.63,30.0
01a59181o0732o,170.42086,20.17485,>19.77,0.0,3.0,o,22.249,59181.55980605,5351.24,3558.91,188.0,180.2,-0.4,17.2,178.2,206.6,978.0,1.03,2.45,2.33,1.0,3.0,-0.3967,-0.5018116527428642,21.57790106794316,18.78,30.0
01a59181o0755o,170.42086,20.17485,>19.30999564335551,0.0,2.15,o,22.256,59181.57040105,5370.92,3441.74,244.0,182.1,35.1,16.3,180.9,-195.4,1158.4,1.32,2.66,2.43,1.0,3.0,-0.3877,49.1307927754246,22.815724280325384,18.77,30.0
02a59183o0437o,170.42086,20.17485,>18.97,0.0,3.0,o,22.139,59183.57507045,5308.45,8987.7,241.0,181.3,-18.5,40.1,193.0,4167.5,2566.4,1.08,2.27,2.03,1.0,3.0,-0.4347,-21.471004788449427,46.53985362253093,18.59,30.0
02a59183o0444o,170.42086,20.17485,>19.07,0.0,3.0,o,22.14,59183.57830075,5327.69,9025.82,114.0,179.7,-8.0,42.6,188.7,4631.9,2090.0,1.17,2.12,1.87,1.0,3.0,-0.4467,-8.06912047579548,42.96806653361092,18.71,30.0
02a59183o0458o,170.42086,20.17485,>19.11,0.0,3.0,o,22.144,59183.58475695,5268.63,8948.7,227.0,179.2,-24.4,40.3,181.9,-238.3,2322.9,0.94,2.13,1.9,1.0,3.0,-0.4457,-25.008162116125945,41.30446447868343,18.74,30.0
02a59183o0482o,170.42086,20.17485,>19.18,0.0,3.0,o,22.15,59183.59581415,5246.92,9064.91,182.0,178.9,-17.3,38.4,173.8,455.6,1978.4,1.06,2.13,1.88,1.0,3.0,-0.4457,-17.44786535395895,38.72820980300714,18.77,30.0
02a59183o0573o,170.42086,20.17485,>19.32,0.0,3.0,o,22.171,59183.65872455,5293.06,9009.06,196.0,180.4,-16.6,35.4,183.5,1412.4,1816.0,1.35,2.12,1.84,1.0,3.0,-0.4427,-15.952197476896517,34.018541607357626,18.82,30.0
01a59185o0904o,170.42086,20.17485,>19.31,0.0,3.0,o,22.288,59185.60114215,2020.44,12.95,173.0,163.8,-18.7,35.0,157.3,-17548.9,2079.0,1.52,2.15,2.06,1.0,3.0,-0.4127,-17.819931575087832,33.35281310845317,19.14,30.0
01a59185o0919o,170.42086,20.17485,>20.07,0.0,3.0,o,22.291,59185.60842515,2649.07,10229.4,178.0,176.1,-10.5,18.8,174.5,-1518.5,918.4,1.69,2.08,1.97,1.0,3.0,-0.4207,-9.29988558378256,16.651223711915446,19.2,30.0
01a59185o0920o,170.42086,20.17485,None,None,None,o,22.289,59185.60888545,None,None,None,None,None,None,None,None,None,None,None,None,1.0,3.0,-0.4187,None,None,19.19,30.0
01a59185o0946o,170.42086,20.17485,>19.117795358316275,0.0,1.49,o,22.291,59185.62129395,2055.78,54.29,252.0,175.1,44.9,30.2,176.8,6402.0,2033.9,1.05,2.1,1.99,1.0,3.0,-0.4197,40.52074834786232,27.254489980076663,19.21,30.0
01a59185o0951o,170.42086,20.17485,>19.536214967407673,0.0,1.12,o,22.293,59185.62359415,2632.84,10188.7,185.0,178.6,18.3,16.4,173.8,-896.2,1013.5,0.99,2.48,2.15,1.0,3.0,-0.3977,20.611043303974697,18.471098917223223,19.11,30.0
01a59185o0973o,170.42086,20.17485,>19.474860428576243,0.0,1.03,o,22.294,59185.63419635,2691.44,10271.6,207.0,177.4,15.9,15.5,175.6,40.5,1066.3,1.42,2.58,2.32,1.0,3.0,-0.3967,20.066127178069348,19.56131894717452,19.06,30.0
01a59185o0982o,170.42086,20.17485,>19.85,0.0,3.0,o,21.93,59185.63887715,2713.19,10148.7,179.0,181.1,-20.6,13.8,174.9,-410.4,732.5,1.04,2.31,2.14,1.0,3.0,-0.4127,-30.4685452486614,20.410967205413947,18.77,30.0
02a59187o0846o,170.42086,20.17485,>19.370060425578384,0.0,2.66,o,22.103,59187.59604655,6098.34,2399.09,268.0,184.8,52.7,19.8,181.4,-2822.0,1094.5,0.94,2.16,1.92,1.0,3.0,-0.4437,57.37521690022405,21.556533104828016,18.85,30.0
02a59187o0853o,170.42086,20.17485,19.31,0.27,3.5,o,22.152,59187.59925105,6118.11,2438.09,247.0,179.2,68.6,19.6,177.6,1827.2,962.4,1.21,2.12,1.88,1.0,3.0,-0.4477,68.86151467222876,19.674718477779653,19.02,30.0
02a59187o0894o,170.42086,20.17485,19.18,0.23,4.33,o,22.159,59187.61881585,6062.04,2360.35,264.0,181.6,74.9,17.3,177.0,-511.5,859.3,1.05,2.16,1.92,1.0,3.0,-0.4447,77.51674764818621,17.904402327284664,19.04,30.0
02a59187o0910o,170.42086,20.17485,19.4,0.29,3.24,o,22.162,59187.62623305,6042.8,2477.05,251.0,183.3,62.2,19.2,184.3,763.5,1074.6,1.06,2.14,1.89,1.0,3.0,-0.4487,62.83834053947779,19.397044025047805,19.03,30.0
02a59191o0855o,170.42086,20.17485,18.86,0.16,6.22,o,22.164,59191.60739635,6102.37,2400.27,317.0,185.1,104.5,16.8,186.5,2048.5,900.9,1.39,2.11,1.89,1.0,3.0,-0.4517,104.18838236438668,16.749902619346376,19.15,30.0
02a59191o0863o,170.42086,20.17485,19.15,0.22,4.49,o,22.162,59191.61107895,6120.63,2439.57,333.0,182.3,82.7,18.4,184.0,910.5,945.1,1.24,2.06,1.85,1.0,3.0,-0.4557,79.23247159324282,17.62850637624749,19.16,30.0
02a59191o0878o,170.42086,20.17485,19.11,0.2,4.87,o,22.168,59191.61804295,6062.83,2361.69,300.0,182.4,83.2,17.1,184.2,643.9,936.4,1.2,2.11,1.89,1.0,3.0,-0.4517,82.64685485425666,16.98631271643977,19.16,30.0
02a59191o0922o,170.42086,20.17485,18.69,0.15,6.63,o,22.171,59191.63826275,6046.3,2479.55,302.0,182.3,119.4,18.0,185.1,1541.4,1040.5,1.55,2.14,1.9,1.0,3.0,-0.4577,121.2635969886008,18.280944269638308,19.1,30.0
01a59193o0902o,170.420858571429,20.1748385714286,18.47,0.08,12.35,o,22.29,59193.61041365,7485.88,1966.14,288.0,179.4,160.6,13.0,178.3,270.8,684.6,1.41,2.14,2.03,1.0,3.0,-0.4057,148.87236836609816,12.050689842834846,19.66,30.0
01a59193o0913o,170.420858571429,20.1748385714286,18.61,0.1,10.6,o,22.29,59193.61650155,7467.31,1925.95,304.0,180.4,121.9,11.5,181.1,2143.9,674.0,1.2,2.37,2.14,1.0,3.0,-0.3997,131.19720114706774,12.377094447836582,19.55,30.0
01a59193o0921o,170.420858571429,20.1748385714286,18.49,0.09,12.15,o,22.292,59193.62034595,7525.9,2005.82,314.0,179.6,166.4,13.7,175.6,-403.9,707.4,1.29,2.06,1.97,1.0,3.0,-0.4207,145.82954265066488,12.006398643714594,19.66,30.0
01a59193o0949o,170.420858571429,20.1748385714286,18.67,0.1,10.36,o,22.269,59193.63383465,7544.25,1887.4,325.0,180.7,143.0,13.8,180.4,714.3,696.0,1.28,2.03,1.93,1.0,3.0,-0.4197,123.46621361218011,11.914921313622976,19.66,30.0
02a59195o0913c,170.420852727273,20.1748290909091,18.91,0.12,8.65,c,22.244,59195.61786195,1048.12,6723.69,243.0,180.7,72.7,8.4,179.2,825.8,471.4,1.15,2.58,2.39,1.0,3.0,-0.4007,99.33693663800327,11.47772032681193,19.73,30.0
02a59195o0922c,170.420852727273,20.1748290909091,18.86,0.12,8.64,c,22.247,59195.62328045,1062.42,6762.96,228.0,181.0,72.6,8.4,179.1,-241.0,575.3,1.02,2.66,2.44,1.0,3.0,-0.3957,103.64940871909688,11.9924935708046,19.69,30.0
02a59195o0929c,170.420852727273,20.1748290909091,18.63,0.1,10.76,c,22.246,59195.62665785,1007.68,6685.78,267.0,181.0,92.5,8.6,179.1,1119.9,527.8,1.18,2.61,2.41,1.0,3.0,-0.3997,128.57544258486143,11.95404114843036,19.7,30.0
02a59195o0940c,170.420852727273,20.1748290909091,18.88,0.11,9.28,c,22.247,59195.63188575,989.67,6801.97,266.0,181.8,77.0,8.3,184.9,1737.0,530.5,1.4,2.55,2.35,1.0,3.0,-0.4027,102.15450251589218,11.011459362102663,19.74,30.0
01a59197o0636c,170.420824,20.1748053333333,18.97,0.11,9.33,c,22.378,59197.56987285,7489.25,1972.17,263.0,179.4,88.6,9.5,176.8,-807.1,574.2,1.62,2.42,2.26,1.0,3.0,-0.3837,93.43643766877196,10.018579659744173,19.86,30.0
01a59197o0643c,170.420824,20.1748053333333,18.89,0.1,10.4,c,22.382,59197.57376825,7469.32,1933.08,240.0,180.1,95.7,9.2,178.0,-551.6,670.0,1.15,2.43,2.26,1.0,3.0,-0.3857,101.15454380382707,9.724365757525694,19.85,30.0
01a59197o0663c,170.420824,20.1748053333333,19.05,0.12,8.51,c,22.387,59197.58373195,7533.46,2014.21,239.0,178.4,77.4,9.1,176.2,-29.0,592.3,1.06,2.55,2.34,1.0,3.0,-0.3707,87.2681448486675,10.26020824448158,19.78,30.0
01a59197o0675c,170.420824,20.1748053333333,18.83,0.09,11.09,c,22.389,59197.58932375,7549.91,1895.06,263.0,179.1,104.2,9.4,174.9,-1570.5,673.0,1.52,2.39,2.23,1.0,3.0,-0.3857,106.20115212942174,9.580526199775091,19.87,30.0
01a59205o0749c,170.42083,20.1747973684211,18.83,0.13,8.14,c,22.376,59205.57355105,2566.04,8275.12,239.0,178.4,81.4,10.0,177.3,-1098.9,825.1,0.94,2.87,2.29,1.0,3.0,-0.4217,107.02876871931406,13.148497385665122,19.78,30.0
01a59205o0753c,170.42083,20.1747973684211,18.79,0.1,9.96,c,22.392,59205.57543045,2547.89,8236.33,288.0,180.9,102.6,10.3,182.5,512.3,575.1,1.14,2.49,2.26,1.0,3.0,-0.3927,110.81891462289101,11.125095717502708,19.89,30.0
01a59205o0766c,170.42083,20.1747973684211,18.99,0.11,9.7,c,22.347,59205.58143375,2603.79,8310.98,251.0,181.0,94.1,9.7,181.2,666.9,520.3,1.35,2.32,2.13,1.0,3.0,-0.3857,92.43063933747692,9.527919251578385,19.93,30.0
01a59205o0777c,170.42083,20.1747973684211,18.79,0.11,9.74,c,22.248,59205.58689195,2624.6,8196.71,262.0,181.5,84.7,8.7,183.4,934.6,591.9,1.45,2.57,2.34,1.0,3.0,-0.3847,110.81310814050815,11.382220080548061,19.75,30.0
02a59207o0734c,170.420818695652,20.1747943478261,19.27,0.15,6.78,c,22.239,59207.55676585,9179.32,6838.39,223.0,181.2,55.6,8.2,179.2,-649.9,522.3,1.15,2.49,2.3,1.0,3.0,-0.4077,71.344536357054,10.52203593755113,19.76,30.0
02a59207o0739c,170.420818695652,20.1747943478261,19.21,0.14,7.0,c,22.241,59207.55910735,9195.01,6878.61,240.0,181.9,58.1,8.3,183.0,319.3,508.8,1.34,2.52,2.31,1.0,3.0,-0.3997,75.08399953652544,10.726285648075063,19.73,30.0
02a59207o0752c,170.420818695652,20.1747943478261,19.3,0.14,7.05,c,22.242,59207.56570155,9143.81,6801.03,247.0,181.4,54.3,7.7,180.5,-478.0,438.3,1.36,2.49,2.29,1.0,3.0,-0.4067,69.11835672102215,9.80131393649854,19.72,30.0
02a59207o0763c,170.420818695652,20.1747943478261,18.84,0.11,9.76,c,22.245,59207.57073895,9123.8,6917.59,211.0,181.7,81.0,8.3,180.4,-1001.5,508.8,1.14,2.52,2.33,1.0,3.0,-0.4067,105.87665839974402,10.849089687875006,19.73,30.0
01a59209o0822o,170.420817037037,20.1747944444444,18.91,0.15,6.75,o,22.168,59209.57897045,7582.01,3904.83,235.0,180.2,76.9,11.4,177.3,-553.2,677.3,1.0,2.41,2.26,1.0,3.0,-0.3917,98.7212320605058,14.634877054483303,19.32,30.0
01a59209o0827o,170.420817037037,20.1747944444444,18.84,0.13,8.06,o,22.294,59209.58127355,7561.74,3865.08,246.0,182.0,92.7,11.5,182.1,781.8,733.2,1.03,2.39,2.27,1.0,3.0,-0.3967,106.03817328811321,13.15468169162138,19.44,30.0
01a59209o0833o,170.420817037037,20.1747944444444,18.75,0.11,9.09,o,22.293,59209.58404005,7620.17,3942.98,266.0,180.9,113.6,12.5,180.7,504.3,741.3,1.38,2.25,2.12,1.0,3.0,-0.4027,114.98877720521321,12.652814393179268,19.52,30.0
01a59209o0854o,170.420817037037,20.1747944444444,18.86,0.12,8.21,o,22.29,59209.59414855,7639.64,3828.84,251.0,181.0,80.5,9.8,180.2,936.5,566.6,0.98,2.54,2.41,1.0,3.0,-0.3937,103.99330599407453,12.6600546427569,19.51,30.0
02a59219o0849o,170.420820357143,20.1747992857143,19.2,0.22,4.45,o,22.033,59219.63501367,8238.31,6013.22,245.0,182.6,62.3,14.0,180.7,404.8,741.5,1.08,2.19,1.98,1.0,3.0,-0.4487,75.98993920216797,17.076390831947865,19.21,30.0
02a59219o0901o,170.420820357143,20.1747992857143,>19.606204094964145,0.0,1.8,o,22.028,59219.66109523,8312.86,5978.68,231.0,180.8,26.3,14.6,185.5,692.5,790.8,1.02,2.14,1.96,1.0,3.0,-0.4517,31.2596663650672,17.35327486425784,19.16,30.0
01a59221o0733o,170.420820357143,20.1747992857143,19.34,0.18,5.55,o,22.151,59221.55497275,8399.13,9932.1,247.0,178.7,64.4,11.6,175.9,-654.5,686.7,1.35,2.2,1.94,1.0,3.0,-0.4107,66.96826128725151,12.062606070374494,19.53,30.0
01a59221o0737o,170.420820357143,20.1747992857143,19.77,0.25,3.8,o,22.15,59221.55681465,8379.45,9891.91,222.0,179.5,44.1,11.6,177.4,-559.6,672.5,1.16,2.2,1.91,1.0,3.0,-0.4057,44.9835144547917,11.83239835999056,19.57,30.0
01a59221o0755o,170.420820357143,20.1747992857143,19.8,0.26,3.72,o,22.298,59221.56688495,8439.33,9971.94,210.0,178.3,47.2,12.7,175.3,1291.4,721.0,1.32,2.14,2.03,1.0,3.0,-0.4117,43.67275156849222,11.750931036437523,19.65,30.0
01a59221o0762o,170.420820357143,20.1747992857143,19.98,0.29,3.22,o,22.297,59221.57011235,8457.87,9854.72,257.0,177.8,41.9,13.0,175.9,-181.2,870.8,1.61,2.09,1.98,1.0,3.0,-0.4117,36.9644496574248,11.468683664594806,19.66,30.0
01a59229o0568c,170.420820357143,20.1747992857143,19.96,0.23,4.33,c,22.407,59229.60777475,7200.1,6928.52,213.0,180.7,34.2,7.9,179.4,-421.7,480.5,1.44,2.5,2.35,1.0,3.0,-0.3837,37.7218272870655,8.713521507830919,19.9,30.0
01a59229o0578c,170.420820357143,20.1747992857143,>20.2147382714485,0.0,1.88,c,22.405,59229.61245745,7221.07,6965.62,182.0,181.0,16.2,8.6,179.6,-420.2,493.1,0.98,2.58,2.39,1.0,3.0,-0.3787,18.702142714329177,9.928297984150056,19.88,30.0
01a59229o0591c,170.420820357143,20.1747992857143,20.31,0.31,3.08,c,22.405,59229.61857985,7163.44,6888.41,216.0,180.4,26.8,8.7,179.6,-772.2,506.2,0.88,2.41,2.25,1.0,3.0,-0.3867,27.408994264791275,8.897695899391195,19.95,30.0
