MJD	m	dm	uJy	duJy	F	err	chi/N	RA	Dec	x	y	maj	min	phi	apfit	mag5sig	Sky	Obs
58074.564997	-21.921	1.649	-6	10	c	0	1.09	136.46285	-8.58543	10184.56	3280.48	3.1	2.56	58.8	-0.44799999999999995	19.65	21.41	02a58074o0660c
58074.573234	-21.735	1.524	-7	11	c	0	1.0	136.46285	-8.58543	10201.92	3322.05	3.14	2.67	62.5	-0.43700000000000006	19.63	21.42	02a58074o0677c
58074.574632	21.337	1.0290000000000001	11	11	c	0	0.72	136.46285	-8.58543	438.61	3255.78	2.96	2.55	54.2	-0.418	19.6	21.36	02a58074o0680c
58074.58128200001	-21.584	1.0959999999999999	-8	9	c	0	1.42	136.46285	-8.58543	10142.83	3245.61	3.03	2.57	63.3	-0.44299999999999995	19.67	21.45	02a58074o0694c
58074.582691999996	22.019000000000002	1.3330000000000002	6	8	c	0	1.45	136.46285	-8.58543	455.95	3296.47	2.84	2.46	56.5	-0.428	19.63	21.4	02a58074o0697c
58074.589415999995	-21.326	0.915	-11	10	c	0	1.07	136.46285	-8.58543	10122.09	3363.95	2.9	2.49	61.1	-0.455	19.72	21.48	02a58074o0711c
58074.590843	21.614	1.085	8	9	c	0	1.18	136.46285	-8.58543	395.88	3219.71	2.72	2.44	53.6	-0.441	19.67	21.44	02a58074o0714c
58074.598866	-22.859	2.526	-3	7	c	0	1.78	136.46285	-8.58543	375.17	3338.1	2.75	2.4	56.1	-0.44	19.68	21.45	02a58074o0731c
58078.55362100001	21.765	1.273	7	9	c	0	1.27	136.46285	-8.58543	9452.59	3042.0	2.91	2.67	43.0	-0.435	19.69	21.58	02a58078o0758c
58078.56182	21.421	1.136	10	11	c	0	0.87	136.46285	-8.58543	9470.42	3083.84	2.73	2.45	64.0	-0.469	19.77	21.6	02a58078o0775c
58078.569897	21.933000000000003	1.524	6	9	c	0	1.05	136.46285	-8.58543	9410.86	3007.05	2.71	2.49	57.7	-0.469	19.75	21.59	02a58078o0792c
58082.534389	-16.868	0.778	-650	506	c	0	1.18	136.46285	-8.58543	4650.55	10381.32	2.93	2.56	29.1	-0.44299999999999995	16.04	17.61	02a58082o0731c
58082.540130999994	18.227	0.44299999999999995	186	82	c	0	1.4	136.46285	-8.58543	819.72	714.92	2.8	2.37	41.1	-0.466	16.79	18.32	02a58082o0743c
58082.542413999996	-15.638	0.9279999999999999	-2018	1872	c	0	1.15	136.46285	-8.58543	4667.66	10423.3	2.96	2.59	29.6	-0.45	15.38	17.03	02a58082o0748c
58082.548123	-21.87	1.465	-6	10	c	0	0.94	136.46285	-8.58543	838.15	755.69	2.76	2.44	45.0	-0.47100000000000003	19.67	21.36	02a58082o0760c
58082.550515999996	-21.766	1.49	-7	11	c	0	1.39	136.46285	-8.58543	4609.67	10346.34	2.66	2.34	25.7	-0.44299999999999995	19.7	21.41	02a58082o0765c
58082.556125999996	24.013	9.667	1	9	c	0	1.31	136.46285	-8.58543	778.27	678.69	2.73	2.44	40.7	-0.47	19.65	21.41	02a58082o0777c
58082.558476	20.046	0.537	35	19	c	0	0.92	136.46285	-8.58543	4588.67	10466.27	2.67	2.32	29.8	-0.44799999999999995	19.76	21.48	02a58082o0782c
58082.564122	21.476999999999997	0.985	9	9	c	0	1.22	136.46285	-8.58543	757.84	798.21	2.65	2.34	45.1	-0.49200000000000005	19.77	21.46	02a58082o0794c
58110.486796000005	22.858	3.111	3	8	c	0	1.22	136.46285	-8.58543	9314.67	1961.85	2.73	2.59	85.9	-0.402	19.78	21.8	02a58110o0603c
58134.548475	20.703000000000003	0.46799999999999997	19	9	c	0	0.99	136.46285	-8.58543	1039.13	9093.43	2.62	2.42	19.8	-0.446	19.81	21.91	02a58134o0746c
58134.558473000005	22.624000000000002	2.75	3	9	c	0	0.87	136.46285	-8.58543	1023.19	9053.9	2.56	2.4	11.1	-0.449	19.83	21.89	02a58134o0767c
58134.568448000005	21.026999999999997	0.61	14	9	c	0	1.37	136.46285	-8.58543	1083.81	9131.02	2.57	2.36	14.4	-0.44299999999999995	19.82	21.85	02a58134o0788c
